129,129,2
160,81,3
187,132,3
120,34,3
158,52,3
132,197,2
155,187,2
56,38,3
94,195,2
159,180,3
176,137,3
16,68,3
21,198,3
96,4,3
213,99,3
45,91,2
192,95,3
20,153,3
39,166,2
209,118,1
128,152,3
44,193,3
41,174,2
144,11,3
85,193,3
104,201,3
202,60,2
5,6,3
5,151,3
63,97,2
204,97,2
113,121,2
163,197,3
146,118,3
27,149,3
56,57,3
66,64,3
27,14,3
63,50,3
39,199,3
176,65,2
120,185,2
115,74,2
166,181,3
24,32,3
192,169,3
30,27,3
83,55,1
59,194,3
171,109,2
136,14,3
108,151,1
115,97,2
134,135,3
204,152,3
137,6,1
109,109,3
51,87,3
10,49,3
85,21,2
124,203,3
43,41,3
38,64,3
199,181,2
62,90,3
171,126,3
141,203,2
104,104,3
97,153,3
20,123,3
208,198,2
154,149,2
22,188,3
28,73,3
96,31,3
78,9,3
44,168,3
202,133,3
181,44,2
163,73,3
149,138,1
185,103,2
12,145,3
94,173,2
137,105,2
123,26,3
192,198,2
107,78,2
180,109,3
108,182,2
12,196,3
188,66,1
70,57,3
186,187,3
150,81,2
179,90,2
164,138,3
166,30,3
46,47,3
215,42,2
115,197,3
150,10,2
174,120,3
197,151,3
7,68,3
83,76,3
97,126,3
19,114,3
142,70,2
203,193,3
84,4,3
19,171,3
86,115,2
186,180,3
94,144,2
90,109,2
31,82,2
27,88,2
71,161,3
10,30,3
90,188,3
107,140,2
140,122,3
123,171,3
211,175,2
141,40,3
165,37,2
212,8,3
118,140,3
16,203,2
74,175,2
191,115,2
207,104,3
104,53,2
136,73,3
152,104,3
108,58,2
51,96,1
194,29,1
129,69,2
199,80,2
161,188,3
8,63,3
207,128,3
100,119,3
113,173,3
51,43,3
117,21,3
145,34,2
186,110,2
146,52,3
153,31,2
121,118,2
19,146,2
124,192,2
30,192,3
98,82,2
173,88,2
170,143,2
126,177,3
75,181,2
197,55,2
94,115,2
132,102,2
80,87,3
70,49,3
134,92,2
200,114,3
205,179,2
129,114,3
36,103,2
184,150,2
69,185,2
106,96,2
46,143,3
27,126,3
141,78,3
114,182,2
199,158,3
85,187,3
137,98,2
92,130,3
91,203,3
199,125,3
72,6,3
15,34,3
164,130,3
183,22,3
181,97,3
124,94,3
78,36,3
169,101,3
121,77,3
8,40,3
97,40,3
78,125,2
91,151,2
75,109,3
115,203,3
174,49,1
155,76,2
91,14,3
199,89,3
152,115,3
132,183,2
67,173,3
146,4,2
113,38,3
82,144,2
35,90,3
100,58,2
213,164,3
169,198,3
150,57,3
41,86,3
114,151,2
115,108,2
46,199,3
43,55,3
42,149,3
52,102,2
49,112,3
21,178,3
62,32,3
16,159,2
181,61,2
150,25,3
158,154,3
117,6,3
38,154,3
54,191,2
176,115,3
70,168,2
64,182,2
26,97,2
50,52,2
33,17,3
47,154,3
96,189,3
62,200,2
12,87,3
196,137,3
197,63,3
21,45,3
170,134,2
12,138,3
202,104,3
11,167,3
208,112,3
39,15,2
114,28,1
186,156,3
117,134,1
141,20,3
133,171,3
86,83,3
57,90,3
156,41,2
162,145,3
180,33,2
33,7,3
37,80,3
181,195,3
202,145,3
47,79,3
25,161,3
46,161,3
187,15,1
52,198,3
54,172,3
210,72,3
53,158,3
160,89,3
5,34,3
113,144,2
63,56,2
109,32,3
77,17,3
184,71,2
167,6,3
53,181,3
213,141,3
76,52,3
96,109,2
153,47,2
49,33,1
194,9,3
37,179,3
188,43,3
189,148,2
162,44,2
121,156,3
21,9,1
209,91,3
72,98,2
94,180,3
169,94,3
191,103,2
138,163,2
97,202,3
86,125,2
187,94,3
47,60,2
141,183,3
20,17,3
61,114,3
106,86,3
126,123,3
94,52,1
94,94,3
27,133,3
18,61,3
27,5,3
26,80,3
125,145,3
14,56,3
59,169,3
160,171,2
101,180,3
26,141,2
169,81,1
111,101,3
8,125,2
146,125,3
13,153,3
33,135,3
206,4,3
7,144,3
110,128,2
32,118,3
179,26,3
35,194,3
104,25,2
202,52,3
193,121,3
8,159,2
113,65,1
35,186,3
131,5,2
92,43,3
204,76,3
207,145,3
107,176,2
156,14,3
132,81,1
90,166,3
146,162,3
12,75,2
131,18,3
127,77,1
118,170,3
209,81,3
79,151,3
187,173,3
72,123,3
88,63,3
171,183,3
192,21,1
57,101,2
148,90,3
123,131,3
116,189,1
7,23,3
201,69,3
88,159,3
143,47,1
193,69,2
58,186,3
39,143,3
88,145,3
63,122,3
51,4,3
35,71,3
179,83,2
135,48,3
144,84,3
14,43,3
33,128,3
122,163,3
199,200,2
111,168,3
34,148,2
